Accounts Fee Code :,,,,,,
ACCOUNTID,Account Name,Account Type,Retained Margin Umbrella no Expenses,Retained Margin Umbrella with Expenses,Retained Margin Non CIS (SE),Retained Margin CIS
zcrm_1171216000000219198,Morgan Hunt,Agency,£20,£20,NA,NA
zcrm_1171216000000219199,Morson International (Manchester),Agency,£20,£20,NA,NA
zcrm_1171216000000219200,MPI Aviation,Agency,,,,
zcrm_1171216000000219201,Munro Solutions Glasgow,Agency,,,,
zcrm_1171216000000219202,Nationwide Recruitment,Agency,,,,
zcrm_1171216000000219203,Nationwide Services Ltd,Agency,,,,
zcrm_1171216000000219204,Navartis,Agency,,,,
zcrm_1171216000000219206,NES Fircroft (Altrincham),Agency,£17,£17,NA,NA
zcrm_1171216000000219207,Network Healthcare (Birmingham),Agency,,,,
zcrm_1171216000000219208,Networkers International PLC,Agency,,,,
zcrm_1171216000000219209,Nohow International Ltd,Agency,,,,
zcrm_1171216000000219210,North Resources,Agency,,,,
zcrm_1171216000000219211,Northern Employment Services Ltd,Agency,,,,
zcrm_1171216000000219212,NRL Dovenby (Head Office),Agency,17.95,17.95,NA,17.95
zcrm_1171216000000219213,NRL Egremont,Agency,17.95,17.95,NA,17.95
zcrm_1171216000000219214,NRL Falkirk,Agency,17.95,17.95,NA,17.95
zcrm_1171216000000219215,NRL Washington,Agency,17.95,17.95,NA,17.95
zcrm_1171216000000219216,NRL Wigan,Agency,17.95,17.95,NA,17.95
zcrm_1171216000000219217,Nuparc Glasgow,Agency,,,,
zcrm_1171216000000219218,Ocean City Recruitment Ltd,Agency,,,,
zcrm_1171216000000219219,Oil Consultants Ltd,Agency,,,,
zcrm_1171216000000219220,On Loan Recruitment,Agency,£15,£15,£15,£15
zcrm_1171216000000219221,One Way - ADVANCE WILL NOT WORK WITH,Agency,,,,
zcrm_1171216000000219222,Online Design & Engineering,Agency,,,,
zcrm_1171216000000219223,Orion Electrotech,Agency,£20,£25,,
zcrm_1171216000000219224,Orion Engineering (H.O.) (Inverness),Agency,£17,£17,NA,£18
zcrm_1171216000000219225,P&M Resources,Agency,£19,£19,NA,£19
zcrm_1171216000000219226,Michael Page - Liverpool,Agency,,,,
zcrm_1171216000000219227,Parity Resources,Agency,26.90,26.90,NA,NA
zcrm_1171216000000219228,PCR,Agency,,,,
zcrm_1171216000000219229,PE Global Consulting Limited,Agency,,,,
zcrm_1171216000000219230,Pegasus Staff Services Ltd,Agency,,,,
zcrm_1171216000000219231,PWE Recruitment GROUP,Agency,£20,£25,,
zcrm_1171216000000219232,Pertemps,Agency,,,,
zcrm_1171216000000219233,Pertemps Driving Liverpool,Agency,19.95,19.95,19.95,19.95
zcrm_1171216000000219234,Pertemps Driving Manchester,Agency,19.95,19.95,NA,NA
zcrm_1171216000000219235,Pertemps Medical,Agency,£20,£20,NA,NA
zcrm_1171216000000219236,Pertemps Peterborough,Agency,24.45,24.45,24.45,24.45
zcrm_1171216000000219237,Petrogramme,End Client,,,,
zcrm_1171216000000219238,Phoenix Recruitment,Agency,£17.5,£17.5,NA,NA
zcrm_1171216000000219239,Pin-Point Newcastle,Agency,,,,
zcrm_1171216000000219240,Pinpoint Selection Ltd,Agency,£21,£21,NA,£21
zcrm_1171216000000219241,Plenary Projects,End Client,,,,
zcrm_1171216000000219242,PPM (Parent Account),Agency,19.45,19.45,NA,19.45
zcrm_1171216000000219243,PPM Birmingham,Agency,13.95,£17,NA,£17
zcrm_1171216000000219244,PPM Manchester,Agency,13.95,£17,NA,£17
zcrm_1171216000000219246,Premier Engineering,End Client,,,,
zcrm_1171216000000219247,Premier Group Recruitment,Agency,£22,£22,NA,NA
zcrm_1171216000000219248,PRG Recruitment,Agency,19.45,19.45,NA,NA
zcrm_1171216000000219249,Primat,Agency,,,,
zcrm_1171216000000219250,CORDANT People Limited Bolton,Agency,15.95,15.95,NA,NA
zcrm_1171216000000219251,CORDANT People Limited Chester,Agency,,,,
zcrm_1171216000000219252,CORDANT People Limited Chingford,Agency,15.95,15.95,NA,NA
zcrm_1171216000000219253,CORDANT People Limited Doncaster,Agency,,,,
zcrm_1171216000000219254,CORDANT People Limited HO (Parent Account),Agency,,,,
zcrm_1171216000000219255,CORDANT People LimitedLiverpool,Agency,,,,
zcrm_1171216000000219256,CORDANT People Limited Maldon,Agency,,,,
zcrm_1171216000000219257,Cordant Recruitment Group,Agency,15.95,15.95,NA,NA
zcrm_1171216000000219258,CORDANT People Limited Preston,Agency,,,,
zcrm_1171216000000219259,CORDANT People Limited Rugby,Agency,15.95,15.95,NA,NA
zcrm_1171216000000219260,CORDANT People Limited Sheffield,Agency,15.95,15.95,NA,NA
zcrm_1171216000000219261,Cordant Warrington,Agency,,,,
zcrm_1171216000000219262,Primestaff Services,Agency,£15,£15,NA,£15
zcrm_1171216000000219263,Principle Teachers,Agency,26.90,26.90,26.90,26.90
